"muni_county_2016","hindi","MCD_FIPS"
"TOWN OF CHARLESTOWN CALUMET","8006",5501514000
"TOWN OF CHILTON CALUMET","8008",5501514500
"TOWN OF HARRISON CALUMET","8010",5501532800
"TOWN OF NEW HOLSTEIN CALUMET","8012",5501556825
"TOWN OF RANTOUL CALUMET","8014",5501566275
"TOWN OF STOCKBRIDGE CALUMET","8016",5501577425
"TOWN OF WOODVILLE CALUMET","8018",5501589000
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HARRISON CALUMET","8131",5501532790
"VILLAGE OF HILBERT CALUMET","8136",5501534575
"VILLAGE OF POTTER CALUMET","8160",5501564675
"VILLAGE OF SHERWOOD CALUMET","8179",5501573525
"VILLAGE OF STOCKBRIDGE CALUMET","8181",5501577400
"CITY OF APPLETON CALUMET","8201",NA
"CITY OF APPLETON CALUMET","8201",NA
"CITY OF APPLETON CALUMET","8201",NA
"CITY OF APPLETON CALUMET","8201",NA
"CITY OF APPLETON CALUMET","8201",NA
"CITY OF APPLETON CALUMET","8201",NA
"CITY OF APPLETON CALUMET","8201",NA
"CITY OF BRILLION CALUMET","8206",5501509725
"CITY OF CHILTON CALUMET","8211",5501514475
"CITY OF KIEL CALUMET","8241",NA
"CITY OF MENASHA CALUMET","8251",NA
"CITY OF NEW HOLSTEIN CALUMET","8261",5501556800
"TOWN OF ANSON CHIPPEWA","9002",5501702175
"TOWN OF ANSON CHIPPEWA","9002",5501702175
"TOWN OF ARTHUR CHIPPEWA","9004",5501703075
"TOWN OF AUBURN CHIPPEWA","9006",5501703725
"TOWN OF BIRCH CREEK CHIPPEWA","9008",5501707525
"TOWN OF BLOOMER CHIPPEWA","9010",5501708250
"TOWN OF CLEVELAND CHIPPEWA","9012",5501715350
"TOWN OF COLBURN CHIPPEWA","9014",5501716125
"TOWN OF COOKS VALLEY CHIPPEWA","9016",5501716800
"TOWN OF DELMAR CHIPPEWA","9018",5501719625
"TOWN OF EAGLE POINT CHIPPEWA","9020",5501721600
"TOWN OF EDSON CHIPPEWA","9022",5501722750
"TOWN OF ESTELLA CHIPPEWA","9024",5501724375
"TOWN OF GOETZ CHIPPEWA","9026",5501729700
"TOWN OF GOETZ CHIPPEWA","9026",5501729700
"TOWN OF HALLIE CHIPPEWA","9028",5501732125
"TOWN OF HOWARD CHIPPEWA","9032",5501736000
"TOWN OF LAFAYETTE CHIPPEWA","9034",5501740900
"TOWN OF LAKE HOLCOMBE CHIPPEWA","9035",5501741550
"TOWN OF RUBY CHIPPEWA","9036",5501769975
"TOWN OF SAMPSON CHIPPEWA","9038",5501771275
"TOWN OF SIGEL CHIPPEWA","9040",5501773875
"TOWN OF TILDEN CHIPPEWA","9042",5501779875
"TOWN OF WHEATON CHIPPEWA","9044",5501786537
"TOWN OF WOODMOHR CHIPPEWA","9046",5501788875
"VILLAGE OF BOYD CHIPPEWA","9106",5501709075
"VILLAGE OF CADOTT CHIPPEWA","9111",5501711750
"VILLAGE OF LAKE HALLIE CHIPPEWA","9128",5501741525
"VILLAGE OF NEW AUBURN CHIPPEWA","9161",5501756350
"CITY OF BLOOMER CHIPPEWA","9206",5501708225
"CITY OF CHIPPEWA FALLS CHIPPEWA","9211",5501714575
"CITY OF CHIPPEWA FALLS CHIPPEWA","9211",5501714575
"CITY OF CHIPPEWA FALLS CHIPPEWA","9211",5501714575
"CITY OF CHIPPEWA FALLS CHIPPEWA","9211",5501714575
"CITY OF CHIPPEWA FALLS CHIPPEWA","9211",5501714575
"CITY OF CHIPPEWA FALLS CHIPPEWA","9211",5501714575
"CITY OF CHIPPEWA FALLS CHIPPEWA","9211",5501714575
"CITY OF CORNELL CHIPPEWA","9213",5501717100
"CITY OF EAU CLAIRE CHIPPEWA","9221",NA
"CITY OF EAU CLAIRE CHIPPEWA","9221",NA
"CITY OF STANLEY CHIPPEWA","9281",5501776625
"TOWN OF BEAVER CLARK","10002",5501905750
"TOWN OF BUTLER CLARK","10004",5501911425
"TOWN OF COLBY CLARK","10006",5501916175
"TOWN OF DEWHURST CLARK","10008",5501920025
"TOWN OF EATON CLARK","10010",5501922250
"TOWN OF FOSTER CLARK","10012",5501926775
"TOWN OF FREMONT CLARK","10014",5501927775
"TOWN OF GRANT CLARK","10016",5501930275
"TOWN OF GREEN GROVE CLARK","10018",5501931275
"TOWN OF HENDREN CLARK","10020",5501933900
"TOWN OF HEWETT CLARK","10022",5501934200
"TOWN OF HIXON CLARK","10024",5501935050
"TOWN OF HOARD CLARK","10026",5501935125
"TOWN OF LEVIS CLARK","10028",5501943700
"TOWN OF LONGWOOD CLARK","10030",5501945700
"TOWN OF LOYAL CLARK","10032",5501946100
"TOWN OF LYNN CLARK","10034",5501946625
"TOWN OF MAYVILLE CLARK","10036",5501950175
"TOWN OF MEAD CLARK","10038",5501950275
