"","county","municipality","muni_county","reporting_unit_orig","reporting_unit","democrat_votes.rec","democrat_votes.perc","other_votes.rec","other_votes.perc","republican_votes.rec","republican_votes.perc","votes.tot"
"1865","COLUMBIA","TOWN OF COLUMBUS","TOWN OF COLUMBUS COLUMBIA","TOWN OF COLUMBUS WARD 1 COLUMBIA","TOWN-OF-COLUMBUS-WARD-1-COLUMBIA",174,46.2765957446808,2,0.531914893617021,200,53.1914893617021,376
"1866","FLORENCE","TOWN OF COMMONWEALTH","TOWN OF COMMONWEALTH FLORENCE","TOWN OF COMMONWEALTH WARDS 1-3 FLORENCE","TOWN-OF-COMMONWEALTH-WARD-1-3-FLORENCE",87,39.3665158371041,4,1.80995475113122,130,58.8235294117647,221
"1867","JEFFERSON","TOWN OF CONCORD","TOWN OF CONCORD JEFFERSON","TOWN OF CONCORD WARDS 1-3 JEFFERSON","TOWN-OF-CONCORD-WARD-1-3-JEFFERSON",432,34.5323741007194,9,0.719424460431655,810,64.7482014388489,1251
"1868","VILAS","TOWN OF CONOVER","TOWN OF CONOVER VILAS","TOWN OF CONOVER WARD 1-2 VILAS","TOWN-OF-CONOVER-WARD-1-2-VILAS",338,41.320293398533,7,0.855745721271394,473,57.8239608801956,818
"1869","CHIPPEWA","TOWN OF COOKS VALLEY","TOWN OF COOKS VALLEY CHIPPEWA","TOWN OF COOKS VALLEY WARD 1 CHIPPEWA","TOWN-OF-COOKS-VALLEY-WARD-1-CHIPPEWA",152,39.0745501285347,3,0.77120822622108,234,60.1542416452442,389
"1870","VERNON","TOWN OF COON","TOWN OF COON VERNON","TOWN OF COON WARDS 1 & 2 VERNON","TOWN-OF-COON-WARD-1-2-VERNON",233,54.3123543123543,3,0.699300699300699,193,44.988344988345,429
"1871","MANITOWOC","TOWN OF COOPERSTOWN","TOWN OF COOPERSTOWN MANITOWOC","TOWN OF COOPERSTOWN WARD 1 & 2 MANITOWOC","TOWN-OF-COOPERSTOWN-WARD-1-2-MANITOWOC",323,42.0572916666667,10,1.30208333333333,435,56.640625,768
"1872","LINCOLN","TOWN OF CORNING","TOWN OF CORNING LINCOLN","TOWN OF CORNING WARDS 1-2 LINCOLN","TOWN-OF-CORNING-WARD-1-2-LINCOLN",205,45.9641255605381,4,0.896860986547085,237,53.1390134529148,446
"1873","DANE","TOWN OF COTTAGE GROVE","TOWN OF COTTAGE GROVE DANE","TOWN OF COTTAGE GROVE WARDS 1, 2, 4, 5, 7 DANE","TOWN-OF-COTTAGE-GROVE-WARD-1-2-4-5-7-DANE",938,59.9744245524297,11,0.703324808184143,615,39.3222506393862,1564
"1874","DANE","TOWN OF COTTAGE GROVE","TOWN OF COTTAGE GROVE DANE","TOWN OF COTTAGE GROVE WARDS 3, 6 DANE","TOWN-OF-COTTAGE-GROVE-WARD-3-6-DANE",531,57.0967741935484,11,1.18279569892473,388,41.7204301075269,930
"1875","SAWYER","TOWN OF COUDERAY","TOWN OF COUDERAY SAWYER","TOWN OF COUDERAY WARD 1 SAWYER","TOWN-OF-COUDERAY-WARD-1-SAWYER",101,65.5844155844156,0,0,53,34.4155844155844,154
"1876","COLUMBIA","TOWN OF COURTLAND","TOWN OF COURTLAND COLUMBIA","TOWN OF COURTLAND WARD 1 COLUMBIA","TOWN-OF-COURTL-WARD-1-COLUMBIA",89,34.2307692307692,2,0.769230769230769,169,65,260
"1877","FOREST","TOWN OF CRANDON","TOWN OF CRANDON FOREST","TOWN OF CRANDON WARDS 1, 2, 3 FOREST","TOWN-OF-CR-ON-WARD-1-2-3-FOREST",187,58.6206896551724,6,1.88087774294671,126,39.4984326018809,319
