"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2008","other_votes.rec2008","votes.tot2008","republican_votes.rec2008","dem.perc2008","rep.perc2008","oth.perc2008","dem.change.2008.num","rep.change.2008.num","oth.change.2008.num","dem.change.2008.perc","rep.change.2008.perc","oth.change.2008.perc","demwinner","demwinner2008","county","municipality","reporting_unit"
"21","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-11-OUTAGAMIE","CITY OF APPLETON WARD 11 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",233,46.9758064516129,30,496,6.04838709677419,233,46.9758064516129,394,8,624,222,63.1410256410256,35.5769230769231,1.28205128205128,-161,11,22,-16.1652191894127,11.3988833746898,4.76633581472291,0,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"22","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-12-CALUMET","CITY OF APPLETON WARD 12 CALUMET","CITY OF APPLETON","CALUMET",149,46.7084639498433,19,319,5.95611285266458,151,47.3354231974922,76,2,131,53,58.0152671755725,40.4580152671756,1.52671755725191,73,98,17,-11.3068032257293,6.87740793031659,4.42939529541267,0,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12 CALUMET"
"23","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-13-CALUMET","CITY OF APPLETON WARD 13 CALUMET","CITY OF APPLETON","CALUMET",445,47.23991507431,73,942,7.74946921443737,424,45.0106157112527,298,14,557,245,53.5008976660682,43.9856373429084,2.51346499102334,147,179,59,-6.26098259175825,1.02497836834421,5.23600422341403,1,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12 CALUMET"
"24","CITY OF APPLETON CALUMET","CITY-OF-APPLETON-WARD-14-CALUMET","CITY OF APPLETON WARD 14 CALUMET","CITY OF APPLETON","CALUMET",362,45.7648546144121,41,791,5.18331226295828,388,49.0518331226296,398,11,745,336,53.4228187919463,45.1006711409396,1.47651006711409,-36,52,30,-7.65796417753418,3.95116198168999,3.70680219584419,0,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12 CALUMET"
"25","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-15-OUTAGAMIE","CITY OF APPLETON WARD 15 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",356,46.9038208168643,35,759,4.61133069828722,368,48.4848484848485,417,11,643,215,64.8522550544323,33.4370139968896,1.71073094867807,-61,153,24,-17.9484342375681,15.0478344879589,2.90059974960915,0,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"26","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-16-OUTAGAMIE","CITY OF APPLETON WARD 16 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",314,47.9389312977099,38,655,5.80152671755725,303,46.2595419847328,925,35,1557,597,59.4091201027617,38.3429672447013,2.24791265253693,-611,-294,3,-11.4701888050518,7.91657474003148,3.55361406502032,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"27","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-17-OUTAGAMIE","CITY OF APPLETON WARD 17 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",358,47.9250334672021,39,747,5.22088353413655,350,46.8540829986613,367,12,835,456,43.9520958083832,54.6107784431138,1.43712574850299,-9,-106,27,3.97293765881891,-7.75669544445246,3.78375778563355,1,0,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"28","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-18-OUTAGAMIE","CITY OF APPLETON WARD 18 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",255,42.6421404682274,29,598,4.8494983277592,314,52.5083612040134,690,23,1222,509,56.4648117839607,41.6530278232406,1.88216039279869,-435,-195,6,-13.8226713157333,10.8553333807728,2.96733793496051,0,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"29","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-19-OUTAGAMIE","CITY OF APPLETON WARD 19 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",532,38.4393063583815,51,1384,3.6849710982659,801,57.8757225433526,645,29,1128,454,57.1808510638298,40.2482269503546,2.5709219858156,-113,347,22,-18.7415447054483,17.627495592998,1.11404911245029,0,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
"30","CITY OF APPLETON OUTAGAMIE","CITY-OF-APPLETON-WARD-2-OUTAGAMIE","CITY OF APPLETON WARD 2 OUTAGAMIE","CITY OF APPLETON","OUTAGAMIE",686,51.5015015015015,131,1332,9.83483483483483,515,38.6636636636637,267,8,385,110,69.3506493506493,28.5714285714286,2.07792207792208,419,405,123,-17.8491478491478,10.0922350922351,7.75691275691276,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1 OUTAGAMIE"
