county,Total Voter Reg,TotalTurnout_2016,Hillary Clinton_2016,Donald J. Trump_2016,other_2016,Total_2016,HRCmargin_2016,change%_D,change%_R,change%_other,change%_Total,HRC%_2016,DJT%_2016,other%_2016,County%_2016,Dwin_2016 (1=Dem win),Switch (1=switch),Method_2016.1paperonly.2.paper.machine.combo,Obama_2012,Romney_2012,Others_2012,Total_2012,BHO%_2012,MR%_2012,other%_2012,County_2012,Dwin_2012,"Method_2012 (1=paper only, 2=paper and machine combo)",pop_2014_est,pop_voterage_2014_est_calc,pop_2010_real,%under18_2013,%whitewithlatino_2013,%blackonly_2013,pop_blackonly_2013_calc,%whitenolatino_2013,pop_whitenolatino_2013_calc,pop_nonwhite_2013_calc,%_collegedegreepersons25+_2013,pop_collegedegreepersons25+_2013_calc,ratio_white_nonwhite,ratio_white_black,ratio_nocollege_college,medianhouseholdincome_2009-2013,pop_sq_mile_2010
Green,21670,86.71%,"9,121","8,693",977,"18,791",428,-18.61%,10.64%,277.22%,-2.75%,48.54%,46.26%,5.20%,0.64%,1,0,1,"11,206","7,857",259,"19,322",58.00%,40.66%,1.34%,0.63%,1,2,37063,28427,36842,23.3,97.6,0.6,171,94.9,26978,1450,20.6,5856,18.6,158.2,3.9,55584,63.1
Monroe,23177,84.37%,"7,047","11,442",1065,"19,554",-4395,-25.94%,18.26%,261.02%,0.35%,36.04%,58.51%,5.45%,0.66%,0,0,2,"9,515","9,675",295,"19,485",48.83%,49.65%,1.51%,0.63%,0,2,45379,33762,44673,25.6,95,1.5,506,91.6,30926,2836,17.4,5875,10.9,61.1,4.7,49774,49.6
Shawano,23630,83.36%,"6,056","12,742",899,"19,697",-6686,-32.71%,15.61%,249.81%,-2.87%,30.75%,64.69%,4.56%,0.67%,0,0,2,"9,000","11,022",257,"20,279",44.38%,54.35%,1.27%,0.66%,0,2,41579,32473,41949,21.9,88.9,0.4,130,87.3,28349,4124,15.3,4968,6.9,218.3,5.5,46559,47
Oconto,23184,85.94%,"5,886","13,255",783,"19,924",-7369,-33.60%,23.41%,209.49%,0.33%,29.54%,66.53%,3.93%,0.68%,0,0,2,"8,865","10,741",253,"19,859",44.64%,54.09%,1.27%,0.65%,0,2,37417,29634,37660,20.8,96.9,0.3,89,95.6,28330,1304,14.9,4416,21.7,318.7,5.7,51615,37.7
Marinette,24615,81.17%,"6,243","12,995",741,"19,979",-6752,-36.82%,22.37%,168.48%,-3.84%,31.25%,65.04%,3.71%,0.68%,0,0,2,"9,882","10,619",276,"20,777",47.56%,51.11%,1.33%,0.68%,0,2,41298,33245,41749,19.5,97.2,0.4,133,95.9,31882,1363,13.6,4521,23.4,239.8,6.4,40490,29.8
Oneida,25116,82.96%,"8,103","11,677",1057,"20,837",-3574,-22.47%,6.96%,273.50%,-3.76%,38.89%,56.04%,5.07%,0.71%,0,0,2,"10,452","10,917",283,"21,652",48.27%,50.42%,1.31%,0.71%,0,2,35563,29339,35998,17.5,96.6,0.5,147,95.5,28019,1320,23.6,6924,21.2,191,3.2,45759,32.3
Pierce,25044,84.21%,"8,380","11,260",1449,"21,089",-2880,-18.12%,8.30%,273.45%,0.33%,39.74%,53.39%,6.87%,0.72%,0,0,2,"10,235","10,397",388,"21,020",48.69%,49.46%,1.85%,0.69%,0,2,40958,32152,41019,21.5,96.7,0.6,193,95.1,30577,1575,25.7,8263,19.4,158.5,2.9,59226,71.5
Dunn,26463,83.24%,"9,025","11,487",1517,"22,029",-2462,-20.25%,12.35%,235.62%,0.17%,40.97%,52.14%,6.89%,0.75%,0,1,2,"11,316","10,224",452,"21,992",51.46%,46.49%,2.06%,0.72%,1,2,44305,35400,43857,20.1,94.9,0.6,212,93.5,33099,2301,24.7,8744,14.4,155.8,3,48893,51.6
Douglas,27136,81.75%,"11,342","9,657",1186,"22,185",1685,-23.69%,25.33%,263.80%,-3.10%,51.12%,43.53%,5.35%,0.75%,1,0,1,"14,863","7,705",326,"22,894",64.92%,33.66%,1.42%,0.75%,1,1,43698,34521,44159,21,93.1,1.2,414,92.1,31794,2727,21.7,7491,11.7,76.8,3.6,45418,33.9
Barron,26333,85.50%,"7,881","13,595",1038,"22,514",-5714,-27.63%,18.81%,189.14%,-0.78%,35.00%,60.38%,4.61%,0.76%,0,0,2,"10,890","11,443",359,"22,692",47.99%,50.43%,1.58%,0.74%,0,2,45455,35591,45870,21.7,96.1,1.1,392,94.1,33491,2100,16.2,5766,15.9,85.5,5.2,44054,53.2
Polk,26328,86.19%,"7,568","13,864",1259,"22,691",-6296,-24.87%,14.64%,210.10%,0.52%,33.35%,61.10%,5.55%,0.77%,0,0,2,"10,073","12,094",406,"22,573",44.62%,53.58%,1.80%,0.74%,0,2,43437,33794,44205,22.2,96.9,0.3,101,95.6,32307,1487,19.3,6522,21.7,318.7,4.2,48538,48.4
Grant,29547,81.40%,"10,047","12,347",1657,"24,051",-2300,-26.09%,20.40%,315.29%,-0.81%,41.77%,51.34%,6.89%,0.82%,0,1,2,"13,594","10,255",399,"24,248",56.06%,42.29%,1.65%,0.79%,1,2,51829,41100,51208,20.7,97,1.2,493,95.8,39374,1726,19.1,7850,22.8,79.8,4.2,46963,44.7
Waupaca,30088,84.72%,"8,303","16,013",1175,"25,491",-7710,-28.29%,14.36%,351.92%,-1.35%,32.57%,62.82%,4.61%,0.87%,0,0,2,"11,578","14,002",260,"25,840",44.81%,54.19%,1.01%,0.84%,0,2,52066,40820,52410,21.6,97.6,0.4,163,95,38779,2041,16.6,6776,19,237.5,5,50822,70.1
Calumet,30495,86.67%,"9,634","15,345",1450,"26,429",-5711,-16.15%,5.54%,269.90%,0.03%,36.45%,58.06%,5.49%,0.90%,0,0,2,"11,489","14,539",392,"26,420",43.49%,55.03%,1.48%,0.86%,0,2,49491,36772,48971,25.7,95.4,0.6,221,91.9,33793,2979,27.6,10149,11.3,153.2,2.6,65130,153.9
