"","county","cand","votes.rec","votes.perc","cand.group"
"317","Ozaukee","Hillary Clinton",20167,37.79,"Clinton"
"318","Ozaukee","Rocky Roque De La Fuente",20,0.04,"Other"
"319","Ozaukee","Gary Johnson",2111,3.96,"Other"
"320","Ozaukee","Monica Moorehead",20,0.04,"Other"
"321","Ozaukee","Jill Stein",387,0.73,"Other"
"322","Ozaukee","Donald J. Trump",30458,57.07,"Trump"
"323","Pepin","Darrell Castle",21,0.56,"Other"
"324","Pepin","Hillary Clinton",1345,35.9,"Clinton"
"325","Pepin","Rocky Roque De La Fuente",3,0.08,"Other"
"326","Pepin","Gary Johnson",115,3.07,"Other"
"327","Pepin","Monica Moorehead",1,0.03,"Other"
"328","Pepin","Jill Stein",33,0.88,"Other"
"329","Pepin","Donald J. Trump",2228,59.48,"Trump"
"330","Pierce","Darrell Castle",105,0.5,"Other"
"331","Pierce","Hillary Clinton",8380,39.74,"Clinton"
"332","Pierce","Rocky Roque De La Fuente",13,0.06,"Other"
"333","Pierce","Gary Johnson",1044,4.95,"Other"
"334","Pierce","Monica Moorehead",6,0.03,"Other"
"335","Pierce","Jill Stein",281,1.33,"Other"
"336","Pierce","Donald J. Trump",11260,53.39,"Trump"
"337","Polk","Darrell Castle",106,0.47,"Other"
"338","Polk","Hillary Clinton",7568,33.35,"Clinton"
"339","Polk","Rocky Roque De La Fuente",17,0.07,"Other"
"340","Polk","Gary Johnson",886,3.9,"Other"
"341","Polk","Monica Moorehead",18,0.08,"Other"
"342","Polk","Jill Stein",232,1.02,"Other"
"343","Polk","Donald J. Trump",13864,61.1,"Trump"
"344","Portage","Darrell Castle",157,0.41,"Other"
"345","Portage","Hillary Clinton",18524,48.59,"Clinton"
"346","Portage","Rocky Roque De La Fuente",41,0.11,"Other"
"347","Portage","Gary Johnson",1490,3.91,"Other"
"348","Portage","Monica Moorehead",18,0.05,"Other"
"349","Portage","Jill Stein",583,1.53,"Other"
"350","Portage","Donald J. Trump",17310,45.41,"Trump"
"351","Price","Darrell Castle",41,0.54,"Other"
"352","Price","Hillary Clinton",2671,35.33,"Clinton"
"353","Price","Rocky Roque De La Fuente",2,0.03,"Other"
"354","Price","Gary Johnson",199,2.63,"Other"
"355","Price","Monica Moorehead",2,0.03,"Other"
"356","Price","Jill Stein",83,1.1,"Other"
"357","Price","Donald J. Trump",4562,60.34,"Trump"
"358","Racine","Darrell Castle",372,0.4,"Other"
"359","Racine","Hillary Clinton",42506,45.37,"Clinton"
"360","Racine","Rocky Roque De La Fuente",42,0.04,"Other"
"361","Racine","Gary Johnson",3246,3.47,"Other"
"362","Racine","Monica Moorehead",58,0.06,"Other"
"363","Racine","Jill Stein",834,0.89,"Other"
"364","Racine","Donald J. Trump",46620,49.77,"Trump"
"365","Richland","Darrell Castle",31,0.39,"Other"
"366","Richland","Hillary Clinton",3577,44.93,"Clinton"
"367","Richland","Rocky Roque De La Fuente",3,0.04,"Other"
"368","Richland","Gary Johnson",219,2.75,"Other"
"369","Richland","Monica Moorehead",4,0.05,"Other"
"370","Richland","Jill Stein",107,1.34,"Other"
"371","Richland","Donald J. Trump",4021,50.5,"Trump"
"372","Rock","Darrell Castle",385,0.51,"Other"
"373","Rock","Hillary Clinton",39336,52.42,"Clinton"
"374","Rock","Rocky Roque De La Fuente",37,0.05,"Other"
"375","Rock","Gary Johnson",2859,3.81,"Other"
"376","Rock","Monica Moorehead",58,0.08,"Other"
"377","Rock","Jill Stein",885,1.18,"Other"
"378","Rock","Donald J. Trump",31483,41.95,"Trump"
"379","Rusk","Darrell Castle",41,0.58,"Other"
"380","Rusk","Hillary Clinton",2171,30.89,"Clinton"
"381","Rusk","Rocky Roque De La Fuente",3,0.04,"Other"
"382","Rusk","Gary Johnson",189,2.69,"Other"
"383","Rusk","Monica Moorehead",5,0.07,"Other"
"384","Rusk","Jill Stein",56,0.8,"Other"
"385","Rusk","Donald J. Trump",4564,64.93,"Trump"
"386","Sauk","Darrell Castle",160,0.47,"Other"
"387","Sauk","Hillary Clinton",16050,47.42,"Clinton"
"388","Sauk","Rocky Roque De La Fuente",60,0.18,"Other"
"389","Sauk","Gary Johnson",1208,3.57,"Other"
"390","Sauk","Monica Moorehead",27,0.08,"Other"
"391","Sauk","Jill Stein",472,1.39,"Other"
"392","Sauk","Donald J. Trump",15871,46.89,"Trump"
"393","Sawyer","Darrell Castle",26,0.33,"Other"
"394","Sawyer","Hillary Clinton",2846,36.64,"Clinton"
"395","Sawyer","Rocky Roque De La Fuente",2,0.03,"Other"
"396","Sawyer","Gary Johnson",188,2.42,"Other"
"397","Sawyer","Monica Moorehead",2,0.03,"Other"
"398","Sawyer","Jill Stein",78,1,"Other"
"399","Sawyer","Donald J. Trump",4625,59.55,"Trump"
"400","Shawano","Darrell Castle",108,0.55,"Other"
"401","Shawano","Hillary Clinton",6056,30.75,"Clinton"
